"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.270747821102473,0.271453116086632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.729252178897527,0.728546883913368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000670653407628162,NA,NA,NA,NA,NA,NA,0.976431975624874,0.311782170018413,0.29489919181747,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478264900040889,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00669247932345801,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00956985384518916,NA,NA,NA,0.420039790577832,0.0883312032688478,0.0527342691178048,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0970239650715781,NA,NA,NA,NA,0.259389884575397,0.0592639909257058,0.131854550108288
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0126751951562684,NA,NA,NA
"phyt",NA,NA,0.905866104193982,NA,NA,NA,NA,NA,NA,0.023568024375126,0.688217829981587,0.226835908141641,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.652602971192886,0.146873929852148,0.947338506194392,0.361126340413463,0.365598883318226,NA,NA,NA,NA,NA,NA,NA,0.00957606467177909
"carnzoo",NA,NA,NA,NA,NA,NA,0.152227226102111,0.0140304469554954,0.075228126850908,NA,NA,NA,NA,0.090880219352091,0,0.0183639966202854
"fishplar",NA,NA,NA,0.0173927787855396,NA,NA,0.128324592073324,0.0502455165112823,0.115736801490736,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0410638350069513,NA,NA,0.178546654132764,0.0580974965245853,0.110719729209523,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.105982778672115,NA,NA,NA,NA,0.232559814078539,0.135240765088275,0.310495674921439
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0175421796498277,NA,NA,NA,NA,0.183744244222687,0.0481516892015413,0.389615836559601
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00552575236244586,NA,NA,NA,NA,0.145094634502438,0.704609285666673,0.135575480174677
"benthslar",NA,NA,0.00158062269352767,0.192467127739308,0.588421537646298,0.0430208315254686,0.0881666648737658,0.285239906699598,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0918826197048625,0.0964732872753153,0.264704532501555,0.00964066228013968,0.0916085224045724,0.226787749990813,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.390342925482218,NA,NA,NA,0.560592534942442,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0723278873654594,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00451839694392976
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
