Month,SO_nitrate,SO_ammonia,SO_phyt,SO_detritus,D_nitrate,D_ammonia,D_phyt,D_detritus,SI_nitrate,SI_ammonia,SI_phyt,SI_detritus,RIV_nitrate,RIV_ammonia,RIV_detritus,SO_ATM_nitrate_flux,SO_ATM_ammonia_flux,SI_ATM_nitrate_flux,SI_ATM_ammonia_flux,SI_other_nitrate_flux,SI_other_ammonia_flux,SO_other_nitrate_flux,SO_other_ammonia_flux,DO_nitrate,DO_ammonia,DO_detritus
1,0.053735967,0.023119779,0.184289122,0.035783731,20.46207988,4.046986087,0.026962114,0.025727973,0.053735967,0.023119779,0.184289122,0.035783731,10,1,0,0.005783804,0.009685454,0.003835016,0.007004672,0,0,0,0,26.60298358,2.49651059,0.000470264
2,0.051336435,0.022087385,0.174679211,0.029047065,20.35560382,4.025927272,0.028291399,0.026808137,0.051336435,0.022087385,0.174679211,0.029047065,10,1,0,0.007147388,0.010199333,0.006148436,0.006833296,0,0,0,0,26.5163489,2.505285355,0.000464799
3,0.040407985,0.017385445,0.153083997,0.021262489,20.28525098,4.012012903,0.029556103,0.027249223,0.040407985,0.017385445,0.153083997,0.021262489,10,1,0,0.007237786,0.012211846,0.007214091,0.010435827,0,0,0,0,27.10321016,2.021269036,0.000598735
4,0.044963007,0.019345232,0.158259256,0.022001803,20.32211292,4.019303449,0.029626907,0.026967659,0.044963007,0.019345232,0.158259256,0.022001803,10,1,0,0.006136281,0.014661546,0.006141249,0.014633991,0,0,0,0,26.89648169,2.332775798,0.000705019
5,0.064500417,0.027751159,0.167445626,0.024814096,20.29945676,4.014822519,0.028321023,0.025516798,0.064500417,0.027751159,0.167445626,0.024814096,10,1,0,0.004484748,0.008082536,0.003839173,0.006433343,0,0,0,0,25.93016606,3.251842091,0.000740778
6,0.083767099,0.036040605,0.173742496,0.030669211,20.3461573,4.024058942,0.027181829,0.022957993,0.083767099,0.036040605,0.173742496,0.030669211,10,1,0,0.004501898,0.006128165,0.004208829,0.005111528,0,0,0,0,25.37647139,3.933339834,0.000821322
7,0.038756853,0.016675049,0.165128371,0.03202102,20.46071141,4.046715431,0.026746971,0.020302007,0.038756853,0.016675049,0.165128371,0.03202102,10,1,0,0.007995386,0.007344671,0.007637251,0.006578018,0,0,0,0,25.97111936,3.382476822,0.000843278
8,0.040334021,0.017353622,0.168140681,0.034361279,20.89326284,4.132265368,0.026935022,0.02003493,0.040334021,0.017353622,0.168140681,0.034361279,10,1,0,0.012917574,0.009515669,0.012855891,0.008989924,0,0,0,0,26.14121832,3.237923793,0.000807672
9,0.061756357,0.026570533,0.212286047,0.058975787,21.09459754,4.172085304,0.024473748,0.020013051,0.061756357,0.026570533,0.212286047,0.058975787,10,1,0,0.018538561,0.011810723,0.019314879,0.012265489,0,0,0,0,26.48266642,2.909557375,0.000713401
10,0.084646698,0.036419051,0.230549811,0.068589436,20.91280541,4.136130492,0.023564701,0.01980777,0.084646698,0.036419051,0.230549811,0.068589436,10,1,0,0.007466221,0.004499106,0.008375889,0.004395536,0,0,0,0,26.24914166,3.062091725,0.000614615
11,0.089083108,0.038327806,0.215059782,0.051712557,21.25857836,4.204517397,0.022851541,0.023253314,0.089083108,0.038327806,0.215059782,0.051712557,10,1,0,0.004555725,0.002964617,0.005121473,0.002695771,0,0,0,0,25.6497212,3.575984152,0.000526156
12,0.097573262,0.041980676,0.213935347,0.048836306,21.11302811,4.175730498,0.024733182,0.026550288,0.097573262,0.041980676,0.213935347,0.048836306,10,1,0,0.004242347,0.005379141,0.003731863,0.004722221,0,0,0,0,25.97635031,3.203531125,0.000472995
