Month,SLight,SO_LogeSPM,SI_LogeSPM,SO_temp,D_temp,SI_temp,Rivervol_SI,log10Kvert,mixLscale,D_SO_upwelling,SO_D_downwelling,SO_OceanIN,D_OceanIN,SI_OceanIN,SI_OceanOUT,SO_SI_flow,habS1_pdist,habS2_pdist,habS3_pdist,habD1_pdist,habD2_pdist,habD3_pdist,Inshore_waveheight,DO_log10Kvert,DO_mixLscale,DO_D_upwelling,D_DO_downwelling
1,49.22220332,5.928647024,5.940721154,26.17548657,13.92897054,26.07361524,1.64E-06,-4.613489421,0.1,0.00110956,5.96E-05,0.006360446,0.002149397,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,1.579179442,-4.897040212,0.9,0.00028181,5.57E-05
2,48.7588413,5.950965886,6.023321532,26.80506826,13.87809436,26.70175228,1.78E-06,-4.955542034,0.1,0.001029886,0.000118039,0.006891434,0.002088019,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,1.624212158,-4.896939755,0.9,0.000164715,0.00017648
3,46.30097448,6.024805871,6.045812571,27.28950928,13.87958498,27.24815755,2.47E-06,-4.955940833,0.1,0.000682852,8.61E-05,0.007009551,0.002023093,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,1.6929497,-4.897880714,0.9,0.000118079,0.00019971
4,43.16497728,6.022477243,6.089948911,27.52531787,13.89532296,27.58727108,3.45E-06,-4.956001888,0.2,0.000454131,0.000169664,0.00974879,0.001998024,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,1.844755077,-4.899351094,0.9,4.57E-05,0.00029759
5,38.43779661,6.003673884,6.093040691,27.3734848,13.97830069,27.48252797,2.32E-06,-3.275548622,0.6,0.000264054,0.000300885,0.014148873,0.001727793,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,1.879926181,-4.901203528,0.9,3.84E-05,0.000372693
6,35.37764694,5.948972383,6.017929174,26.80691202,14.12516041,26.87504807,2.25E-06,-2.65504566,0.8,0.000109839,0.000451128,0.016157179,0.002319495,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,1.999180806,-4.903113662,0.9,5.58E-05,0.000315084
7,35.93229009,5.922159002,5.952541452,26.14120645,14.22408091,26.14695026,2.34E-06,-2.222837161,0.8,0.000561188,0.00029015,0.012099936,0.002836779,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,2.023159742,-4.902885183,0.9,0.000235733,8.48E-05
8,37.04849684,5.912967754,5.917459412,25.57958315,14.19547311,25.62412745,2.45E-06,-1.9451064,0.8,0.001121059,0.000213629,0.010758169,0.00306828,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,2.031660497,-4.901649634,0.9,0.000239704,8.23E-05
9,36.57799075,5.94049812,5.943425977,25.10700103,14.14801754,25.1565991,2.43E-06,-1.939720063,0.8,0.000969357,0.000229151,0.010655015,0.002823721,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,1.986932361,-4.900758626,0.9,0.000172821,9.38E-05
10,38.03074067,6.187339199,6.324868116,24.9677972,14.09455664,24.96150286,1.95E-06,-2.045426054,0.6,0.001110154,0.000169477,0.009062605,0.00244402,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,1.8591465,-4.8999229,0.9,0.000230448,5.86E-05
11,41.56433853,6.223784011,6.255479161,25.16105655,14.01463186,25.11574655,1.74E-06,-2.788861073,0.2,0.001309205,0.000113897,0.007320683,0.002566172,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,1.815444195,-4.899192723,0.9,0.000200277,0.000103098
12,47.01108687,6.072682694,6.103025309,25.58519321,13.97873403,25.52631216,1.39E-06,-3.293211377,0.1,0.000763113,0.000128288,0.007572406,0.002540633,0,0,0.01,0.05,0.05,0.05,0.05,0.05,0.05,1.688379371,-4.899555639,0.9,0.000128981,0.000165964
