Gear_name,Gear_code,Propgutted_PF,Propgutted_DF,Propgutted_MF,Propgutted_FDB,Propguttede_CSB,Propgutted_CZ,Propgutted_BD,Propgutted_SL,Propgutted_CT,Propgutted_KP
Pots_and_traps,PT,0,0,0,0,0,0,0,0,0,0
Purse_seine,PS,0,0,1,0,0,0,0,0,0,0
Associated_schools,AS,0,0,1,0,0,0,0,0,0,0
Longlines,LL,0,0,1,0,0,0,0,0,0,0
Handlines_trolling_rocks,HT,0,0,1,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
