,kelp,phyt,omnivzoo,carnzoo,fishplar,fishdlar,fishp,fishm,fishd,benthslar,benthclar,benths,benthc,bird,seal,ceta
ammonia,0.270747821,0.271453116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nitrate,0.729252179,0.728546884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
suspdet,NA,NA,0.000670653,NA,NA,NA,NA,NA,NA,0.976431976,0.31178217,0.294899192,NA,NA,NA,NA
seddet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4782649,NA,NA,NA,NA
kelpdebris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006692479,NA,NA,NA
corpses,NA,NA,NA,NA,NA,NA,NA,NA,0.009569854,NA,NA,NA,0.420039791,0.088331203,0.052734269,NA
discards,NA,NA,NA,NA,NA,NA,NA,NA,0.007023965,NA,NA,NA,NA,0.009389885,0.059263991,0.13185455
kelp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012675195,NA,NA,NA
phyt,NA,NA,0.905866104,NA,NA,NA,NA,NA,NA,0.023568024,0.68821783,0.226835908,NA,NA,NA,NA
omnivzoo,NA,NA,NA,0.652602971,0.14687393,0.947338506,0.41112634,0.365598883,NA,NA,NA,NA,NA,NA,NA,0.009576065
carnzoo,NA,NA,NA,NA,NA,NA,0.202227226,0.014030447,0.365228127,NA,NA,NA,NA,0.490880219,0,0.622882394
fishplar,NA,NA,NA,0.017392779,NA,NA,0.128324592,0.050245517,0.115736801,NA,NA,NA,NA,NA,NA,NA
fishdlar,NA,NA,NA,0.041063835,NA,NA,0.078546654,0.058097497,0.010719729,NA,NA,NA,NA,NA,NA,NA
fishp,NA,NA,NA,NA,NA,NA,NA,NA,0.205982779,NA,NA,NA,NA,0.282559814,0.135240765,0.010495675
fishm,NA,NA,NA,NA,NA,NA,NA,NA,0.01754218,NA,NA,NA,NA,0.123744244,0.048151689,0.189615837
fishd,NA,NA,NA,NA,NA,NA,NA,NA,0.005525752,NA,NA,NA,NA,0.005094635,0.704609286,0.03557548
benthslar,NA,NA,0.001580623,0.192467128,0.588421538,0.043020832,0.088166665,0.285239907,NA,NA,NA,NA,NA,NA,NA,NA
benthclar,NA,NA,0.09188262,0.096473287,0.264704533,0.009640662,0.091608522,0.22678775,NA,NA,NA,NA,NA,NA,NA,NA
benths,NA,NA,NA,NA,NA,NA,NA,NA,0.240342925,NA,NA,NA,0.560592535,0,0,0
benthc,NA,NA,NA,NA,NA,NA,NA,NA,0.022327887,NA,NA,NA,NA,0,0,0
bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ceta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
