Annual_measure,SD_of_measure,Use1_0,Name,Units,Description,Region,Time_period,Source
1075,300,1,Obs_TAPP,mMN/m2/y,Annual_total_primary_production,Ascension_Island_EEZ,2010-2019,Globcolour-satellite data
NA,NA,0,Obs_NP,mMN/m2/y,Annual_new_production_from_depth_integrated_nitrate_plus_summer_river_and_atmos_inputs,SPSP,2010-2019,No information
NA,NA,0,Obs_KelpP,gC/m2/y,Annual_WITHIN_FOREST_NET_production_of_macrophytes,SPSP,2010-2019,No information
NA,NA,0,Obs_OmnizooP,mMN/m2/y,Annual_ominiv_zooplankton_gross_production,SPSP,2010-2019,No information
NA,NA,0,Obs_CarnzooP,mMN/m2/y,Annual_carnivorous_zooplankton_gross_production,SPSP,2010-2019,No information
NA,NA,0,Obs_PFishP,mMN/m2/y,Annual_planktivorous_fish_gross_production,SPSP,2010-2019,No information
0.004176971629,0.001194931484,1,Obs_DFishP,mMN/m2/y,Annual_demersal_fish_gross_production,SPSP,2010-2019,Based on the average reef fish biomass from Luiz et al. (2015)_Morais et al. (2017)_Quimbayo et al. (2018)_Ferrari et al. (2024)
NA,NA,0,Obs_BensuspP,mMN/m2/y,Annual_susp/dep_benthos_gross_production,SPSP,2010-2019,No information
NA,NA,0,Obs_BencarnP,mMN/m2/y,Annual_carn/scan_benthos_gross_production,SPSP,2010-2019,No information
0.00002577678189,0.0000064441954725,1,Obs_birdP,mMN/m2/y,Annual_net_production_of_birds,SPSP,2010-2019,Based on the rough estimate of 1.3687 tonnes of birds - PB 5.4 (Capitani et al 2021) - and netP0.6xgrossP
NA,NA,0,Obs_sealP,mMN/m2/y,Annual_net_production_of_pinnipeds,SPSP,2010-2019,No pinnipeds in SPSP
NA,NA,0,Obs_cetaP,mMN/m2/y,Annual_net_production_of_cetaceans,SPSP,2010-2019,No information
NA,NA,0,Obs_maxbenthslar,mMN/m3,Annual_monthly_max_conc_of_benthos_susp/dep_larvae,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_maxbenthclar,mMN/m3,Annual_monthly_max_conc_of_benthos_carn/scav_larvae,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Conpfishfish,mMN/m2/y,Annual_consumption_of_planktivorous_fish_by_fish,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Condfishfish,mMN/m2/y,Annual_consumption_of_demersal_fish_by_fish,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Conzoofish,mMN/m2/y,Annual_consumption_of_omniv_zooplankton_by_fish_and_fish_larvae,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Conzoocarnz,mMN/m2/y,Annual_consumption_of_omniv_zooplankton_by_carn_zooplankton,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Conbenfish,mMN/m2/y,Annual_consumption_of_benthos_by_fish,SPSP,2010-2019,Insufficient_data
0.000400562,0.0001001405,1,Obs_Contotal_bird,mMN/m2/y,Annual_food_consumption_by_birds,SPSP,2010-2019,Naves et al. (2002)
0.8088,0.1331,1,Obs_Proppfishbird,dimensionless,Proportion_planktivorous_fish_in_diet_of_birds,SPSP,2010-2019,Both and Freitas (2001)_Naves et al. (2001)_Nunes et al. (2018)_Mancini and Bugoni (2014)
0.005,0.0087,1,Obs_Propdfishbird,dimensionless,Proportion_demersal_fish_in_diet_of_birds,SPSP,2010-2019,Insufficient_data
0.0855,0.0531,1,Obs_Propmfishbird,dimensionless,Proportion_migratory_fish_in_diet_of_birds,SPSP,2010-2019,Insufficient_data
0,0,1,Obs_Propdiscbird,dimensionless,Proportion_discards_in_diet_of_birds,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Contotal_seal,mMN/m2/y,Annual_food_consumption_by_pinnipeds,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Proppfishseal,dimensionless,Proportion_planktivorous_fish_in_diet_of_pinnipeds,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Propdfishseal,dimensionless,Proportion_demersal_fish_in_diet_of_pinnipeds,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Propmfishseal,dimensionless,Proportion_migratory_fish_in_diet_of_pinnipeds,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Contotal_ceta,mMN/m2/y,Annual_food_consumption_by_cetaceans,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Proppfishceta,dimensionless,Proportion_planktivorous_fish_in_diet_of_cetaceans,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Propdfishceta,dimensionless,Proportion_demersal_fish_in_diet_of_cetaceans,SPSP,2010-2019,Insufficient_data
NA,NA,0,Obs_Propmfishceta,dimensionless,Proportion_migratory_fish_in_diet_of_cetaceans,SPSP,2010-2019,Insufficient_data
0.00008081493,0.00002500108,1,Obs_Pland_livewt,mMN/m2/y,Annual_planktivorous_fish_landings_(live_weight),SPSP,2010-2019,Compilation of a range of sources
NA,NA,0,Obs_Dland_livewt,mMN/m2/y,Annual_demersal_fish_landings_(live_weight),SPSP,2010-2019,No landings in SPSP
0.023572099,0.0129287762,1,Obs_Mland_livewt,mMN/m2/y,Annual_migratory_fish_landings_(live_weight),SPSP,2010-2019,Compilation of a range of sources
NA,NA,0,Obs_Bsland_livewt,mMN/m2/y,Annual_susp/dep_benthos_landings_(live_weight),SPSP,2010-2019,No landings in SPSP
0.000014792,0.000003698,1,Obs_Bcland_livewt,mMN/m2/y,Annual_carn/scav_benthos_landings_(live_weight),SPSP,2010-2019,Compilation of a range of sources
NA,NA,0,Obs_Zcland_livewt,mMN/m2/y,Annual_carn_zooplankton_landings_(live_weight),SPSP,2010-2019,No landings in SPSP
NA,NA,0,Obs_Kland_livewt,mMN/m2/y,Annual_macrophyte_landings_(live_weight),SPSP,2010-2019,No landings in SPSP
2,0.5,1,Obs_kelp_pb,/y,Annual_CARBON_gross_PB_ratio_of_macrophytes,General_value,NA,Brady_Campbell_et_al_1984
10,5,1,Obs_benslar_pb,/y,Annual_gross_PB_ratio_larvae_of_susp/dep_benthos,General_value,NA,Mackinson_and_Daskalov_2007
10,5,1,Obs_benclar_pb,/y,Annual_gross_PB_ratio_larvae_of_carn/scav_benthos,General_value,NA,Mackinson_and_Daskalov_2007
10,3,1,Obs_bens_pb,/y,Annual_gross_PB_ratio_susp/dep_feeding_benthos,General_value,NA,Mackinson_and_Daskalov_2007
1.125,0.035,1,Obs_benc_pb,/y,Annual_gross_PB_ratio_carn/scav_feeding_benthos,South_Atlantic,NA,Vasconcellos and Watson (2004)
