Month,Variable,median,lower_centile,upper_centile,Units,low_cent_value,upp_cent_value,Comments
Jan,surface_nitrate,NA,NA,NA,mMNm3,17,83,
Feb,surface_nitrate,NA,NA,NA,mMNm3,17,83,
Mar,surface_nitrate,NA,NA,NA,mMNm3,17,83,
Apr,surface_nitrate,NA,NA,NA,mMNm3,17,83,
May,surface_nitrate,NA,NA,NA,mMNm3,17,83,
Jun,surface_nitrate,NA,NA,NA,mMNm3,17,83,
Jul,surface_nitrate,NA,NA,NA,mMNm3,17,83,
Aug,surface_nitrate,NA,NA,NA,mMNm3,17,83,
Sep,surface_nitrate,NA,NA,NA,mMNm3,17,83,
Oct,surface_nitrate,NA,NA,NA,mMNm3,17,83,
Nov,surface_nitrate,NA,NA,NA,mMNm3,17,83,
Dec,surface_nitrate,NA,NA,NA,mMNm3,17,83,
Jan,deep_nitrate,NA,NA,NA,mMNm3,17,83,
Feb,deep_nitrate,NA,NA,NA,mMNm3,17,83,
Mar,deep_nitrate,NA,NA,NA,mMNm3,17,83,
Apr,deep_nitrate,NA,NA,NA,mMNm3,17,83,
May,deep_nitrate,NA,NA,NA,mMNm3,17,83,
Jun,deep_nitrate,NA,NA,NA,mMNm3,17,83,
Jul,deep_nitrate,NA,NA,NA,mMNm3,17,83,
Aug,deep_nitrate,NA,NA,NA,mMNm3,17,83,
Sep,deep_nitrate,NA,NA,NA,mMNm3,17,83,
Oct,deep_nitrate,NA,NA,NA,mMNm3,17,83,
Nov,deep_nitrate,NA,NA,NA,mMNm3,17,83,
Dec,deep_nitrate,NA,NA,NA,mMNm3,17,83,
Jan,surface_ammonia,NA,NA,NA,mMNm3,17,83,
Feb,surface_ammonia,NA,NA,NA,mMNm3,17,83,
Mar,surface_ammonia,NA,NA,NA,mMNm3,17,83,
Apr,surface_ammonia,NA,NA,NA,mMNm3,17,83,
May,surface_ammonia,NA,NA,NA,mMNm3,17,83,
Jun,surface_ammonia,NA,NA,NA,mMNm3,17,83,
Jul,surface_ammonia,NA,NA,NA,mMNm3,17,83,
Aug,surface_ammonia,NA,NA,NA,mMNm3,17,83,
Sep,surface_ammonia,NA,NA,NA,mMNm3,17,83,
Oct,surface_ammonia,NA,NA,NA,mMNm3,17,83,
Nov,surface_ammonia,NA,NA,NA,mMNm3,17,83,
Dec,surface_ammonia,NA,NA,NA,mMNm3,17,83,
Jan,deep_ammonia,NA,NA,NA,mMNm3,17,83,
Feb,deep_ammonia,NA,NA,NA,mMNm3,17,83,
Mar,deep_ammonia,NA,NA,NA,mMNm3,17,83,
Apr,deep_ammonia,NA,NA,NA,mMNm3,17,83,
May,deep_ammonia,NA,NA,NA,mMNm3,17,83,
Jun,deep_ammonia,NA,NA,NA,mMNm3,17,83,
Jul,deep_ammonia,NA,NA,NA,mMNm3,17,83,
Aug,deep_ammonia,NA,NA,NA,mMNm3,17,83,
Sep,deep_ammonia,NA,NA,NA,mMNm3,17,83,
Oct,deep_ammonia,NA,NA,NA,mMNm3,17,83,
Nov,deep_ammonia,NA,NA,NA,mMNm3,17,83,
Dec,deep_ammonia,NA,NA,NA,mMNm3,17,83,
