Group,Regional_harvest_ratio,Comments
Planktivorous_fish,2.64E-04,NORTH_SEA_DATA_Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards_and_rescaled_to_03_13_from_ICES_ecoreview
Demersal_fish,3.23E-04,NORTH_SEA_DATA_Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards_and_rescaled_to_03_13_from_ICES_ecoreview
Migratory_fish,1.61E-04,NORTH_SEA_DATA_Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards_and_rescaled_to_03_13_from_ICES_ecoreview
Benthos_susp-dep,1.06E-04,NORTH_SEA_DATA_Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards_and_rescaled_to_03_13_from_ICES_ecoreview
Benthos_carn-scav,4.08E-04,NORTH_SEA_DATA_Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards_and_rescaled_to_03_13_from_ICES_ecoreview
Zooplankton_carn,4.95E-04,Guess_at_harvest_ratio_for_squid
Birds,1.65E-06,NORTH_SEA_Rough_estimate_for_harvest_ratio_from_synthesis_of_bycatch_data
Pinnipeds,2.61E-05,NORTH_SEA_Rough_estimate_for_harvest_ratio_from_synthesis_of_bycatch_data
Cetaceans,1.21E-04,NORTH_SEA_Rough_estimate_for_harvest_ratio_from_synthesis_of_bycatch_and_strandings_data
Macrophytes,0.00E+00,Unknown for_the_Celtic_Sea
