Common name English,Common name Portuguese,Taxon
Short-finned pilot whale,Baleia-piloto-de-peitorais-curtas,Globicephala macrorhynchus
Humpback whale,Baleia-jubarte,Megaptera novaeangliae
Sperm whale,Cachalote,Physeter macrocephalus
False killer whales,Falsa-orca,Pseudorca crassidens
Pan-tropical spotted dolphin,Golfinho-pintado-pantropical,Stenella attenuata
Bottlenose dolphin,Golfinho-nariz-de-garrafa,Tursiops truncatus
Cuvier’s beaked whale,Baleia-bicuda-de-cuvier,Ziphius cavirostris
Black noddy,Trinta-réis-preto,Anous minutus
Brown noddy,Trinta-réis-escuro,Anous stolidus
Masked booby,Atobá-grande,Sula dactylatra
Brown booby,Atobá-pardo,Sula leucogaster
Red-footed booby,Atobá-de-patas-vermelhas,Sula sula
Magnificent frigatebird,Tesourão,Fregata magnificens
Sooty tern,Gaivina-de-dorso-preto,Sterna fuscata
Wahoo,Wahoo; Cavala-empinge,Acanthocybium solandri
Bigeye thresher,Tubarão-raposo-olhudo,Alopias superciliosus
Thresher shark,Tubarão-raposa,Alopias vulpinus
Frigate tuna,Bonito-cachorro,Auxis thazard
Silky shark,Tubarão-lombo-preto,Carcharhinus falciformis
Common dolphinfish,Dourado-do-mar,Coryphaena hippurus
Other sharks n.i.,Outros tubarões n.i.,Elasmobranchii
Marlins n.i.,Marlins n.i.,Istiophoridae
Atlantic sailfish,Agulhão-bandeira,Istiophorus albicans
Shortfin mako,Tubarão-anequim,Isurus oxyrinchus
Atlantic white marlin,Agulhão-branco,Kajikia albida
Skipjack tuna,Bonito-listrado,Katsuwonus pelamis
Black marlin,Agulhão-preto,Makaira indica
Blue marlin,Agulhão-azul,Makaira nigricans
Blue shark,Tubarão-azul,Prionace glauca
Whale shark,Tubarão-baleia,Rhincodon typus
Oilfish,Peixe-prego,Ruvettus pretiosus
Atlantic bonito,Bonito,Sarda sarda
King mackerel,Cavala-verdadeira,Scomberomorus cavalla
Scalloped hammerhead shark,Tubarão-martelo-recortado,Sphyrna lewini
Great barracuda,Barracuda,Sphyraena barracuda
Striped marlin,Marlim-listrado,Tetrapturus audax
Longbill spearfish,Agulhão-estilete,Tetrapturus pfluegeri
Albacore,Albacora-branca,Thunnus alalunga
Yellowfin tuna,Albacora-laje,Thunnus albacares
Bigeye tuna,Albacora-bandolim,Thunnus obesus
Tuna n.i.,Atum n.i.,Thunnus spp.
Swordfish,Espadarte; Meca,Xiphias gladius
Atlantic cornetfish,Peixe-trombeta,Aulostomus strigosus
Grey triggerfish,Peixe-porco,Balistes capriscus
Island hogfish,Bodianus insularis,Bodianus insularis
Deep-water bullseye,Olho-de-cão-majestoso,Cookeolus japonicus
Rock hind grouper,Garoupa-gato,Epinephelus adscensionis
Goldentail moray-eel,Moréia-dourada,Gymnothorax miliaris
Dog snapper,Caranha; Dentão,Lutjanus jocu
Devil fish,Manta-diabo,Manta mobular
Chilean devil ray,Raia-manta,Manta tarapacana
Bentfin devil ray,Raia-manta,Manta thurstoni
Giant oceanic manta ray,Jamanta,Mobula birostris
Whitespot moray,Moréia-de-pintas-brancas,Muraena pavonina
Other moray eels,Outras moréias,Muraenidae
Brown chromis,Tesourinha,Chromis multilineata
Flyingfish,Peixe-voador,Cypselurus cyanopterus
Mackerel scad,Cavalinha-de-reis,Decapterus macarellus
Rainbow runner,Peixe-rei,Elagatis bipinnulata
Black triggerfish,Cangulo-preto,Melichthys niger
Saint Paul's Gregory,Peixe-donzela,Stegastes sanctipauli
Deep-sea African crab,Caranguejo-africano,Chaceon gordonae
Sponge crab,-,Dromia bollorei
Sally lightfoot crab,Caranguejo-saltador-real,Grapsus grapsus
Red-clinging crab,Caranguejo-mitrax,Mithraculus forceps
Graceful rock crab,-,Metacarcinus gracilis
Brazilian reef octopus,Polvo-recife-brasileiro,Octopus insularis
Other lobsters,Outras lagostas,Palinuridae
Brown spiny lobster,Lagosta-pintada,Panulirus echinatus
Tidal spray crab,Aratu-da-pedra,Plagusia depressa
Denticulate rubble crab,Caranguejo-marinho,Xanthodius denticulatus
